#options: 1080x1920 fps=120/1 timebase=1/120 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1254 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:8 cpbdur:8 q:49.55 aq:44.35 tex:24163 mv:16393 misc:228 imb:8160 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:8 cpbdur:8 q:49.55 aq:44.45 tex:9529 mv:10619 misc:3932 imb:1963 pmb:259 smb:5938 d:- ref:0 ;
in:1 out:2 type:b dur:8 cpbdur:8 q:49.55 aq:43.99 tex:2523 mv:8098 misc:3763 imb:305 pmb:688 smb:7167 d:- ref:0 ;
in:3 out:3 type:P dur:8 cpbdur:8 q:49.39 aq:44.35 tex:7779 mv:9461 misc:4624 imb:1480 pmb:274 smb:6406 d:- ref:0 ;
in:6 out:4 type:P dur:8 cpbdur:8 q:49.33 aq:43.55 tex:16259 mv:13980 misc:4241 imb:4448 pmb:137 smb:3575 d:- ref:0 ;
in:4 out:5 type:B dur:8 cpbdur:8 q:49.37 aq:44.66 tex:7173 mv:15363 misc:5080 imb:978 pmb:768 smb:6414 d:- ref:0 ;
in:5 out:6 type:b dur:8 cpbdur:8 q:49.35 aq:45.04 tex:5367 mv:12162 misc:4439 imb:753 pmb:752 smb:6655 d:- ref:0 ;
in:7 out:7 type:P dur:8 cpbdur:8 q:49.06 aq:45.44 tex:10579 mv:10283 misc:4898 imb:1720 pmb:287 smb:6153 d:- ref:0 ;
in:8 out:8 type:i dur:8 cpbdur:8 q:46.74 aq:41.28 tex:28849 mv:17954 misc:229 imb:8160 pmb:0 smb:0 d:- ref:;
in:9 out:9 type:P dur:8 cpbdur:8 q:49.07 aq:44.23 tex:5349 mv:6239 misc:3236 imb:1065 pmb:197 smb:6898 d:- ref:0 ;
in:10 out:10 type:P dur:8 cpbdur:8 q:49.01 aq:45.73 tex:12096 mv:8569 misc:4399 imb:1588 pmb:260 smb:6312 d:- ref:0 ;
in:11 out:11 type:P dur:10 cpbdur:10 q:48.26 aq:45.43 tex:10627 mv:7946 misc:4403 imb:1202 pmb:300 smb:6658 d:- ref:0 w:6,63,1 ;
in:12 out:12 type:P dur:8 cpbdur:8 q:48.97 aq:46.29 tex:8162 mv:6843 misc:3659 imb:1065 pmb:214 smb:6881 d:- ref:0 w:6,63,0,4,15,7,16,-1 ;
in:13 out:13 type:i dur:8 cpbdur:8 q:46.43 aq:40.96 tex:33253 mv:18415 misc:268 imb:8160 pmb:0 smb:0 d:- ref:w:6,63,0,4,15,7,16,-1 ;
in:15 out:14 type:P dur:8 cpbdur:8 q:49.00 aq:44.29 tex:5158 mv:5469 misc:2613 imb:978 pmb:147 smb:7035 d:- ref:0 ;
in:14 out:15 type:b dur:8 cpbdur:8 q:49.00 aq:43.83 tex:1986 mv:4753 misc:2653 imb:196 pmb:489 smb:7475 d:- ref:0 ;
in:16 out:16 type:P dur:8 cpbdur:8 q:48.85 aq:44.04 tex:6642 mv:6276 misc:3162 imb:1172 pmb:204 smb:6784 d:- ref:0 ;
in:17 out:17 type:P dur:8 cpbdur:8 q:48.80 aq:44.57 tex:8545 mv:7689 misc:3566 imb:1417 pmb:229 smb:6514 d:- ref:0 ;
in:18 out:18 type:i dur:8 cpbdur:8 q:46.29 aq:40.08 tex:31611 mv:19879 misc:262 imb:8160 pmb:0 smb:0 d:- ref:;
in:19 out:19 type:P dur:8 cpbdur:8 q:46.87 aq:40.42 tex:6293 mv:6419 misc:3136 imb:891 pmb:234 smb:7035 d:- ref:0 ;
in:20 out:20 type:P dur:8 cpbdur:8 q:45.16 aq:38.92 tex:8777 mv:8737 misc:4382 imb:1276 pmb:295 smb:6589 d:- ref:0 ;
in:21 out:21 type:P dur:8 cpbdur:8 q:44.66 aq:38.95 tex:20169 mv:16342 misc:5489 imb:2069 pmb:603 smb:5488 d:- ref:0 ;
in:24 out:22 type:P dur:8 cpbdur:8 q:45.18 aq:38.81 tex:31479 mv:18046 misc:4067 imb:4622 pmb:407 smb:3131 d:- ref:0 ;
in:22 out:23 type:B dur:8 cpbdur:8 q:44.83 aq:39.61 tex:7426 mv:12022 misc:4632 imb:568 pmb:903 smb:6689 d:- ref:0 ;
in:23 out:24 type:b dur:8 cpbdur:8 q:45.00 aq:39.79 tex:4925 mv:8369 misc:3834 imb:317 pmb:758 smb:7085 d:- ref:0 ;
in:26 out:25 type:P dur:8 cpbdur:8 q:44.93 aq:39.13 tex:21317 mv:15020 misc:5687 imb:1898 pmb:620 smb:5642 d:- ref:0 w:6,65,-3,7,123,5,124,4 ;
in:25 out:26 type:b dur:8 cpbdur:8 q:45.05 aq:39.05 tex:4507 mv:8360 misc:3829 imb:276 pmb:718 smb:7166 d:- ref:0 ;
in:29 out:27 type:P dur:8 cpbdur:8 q:44.83 aq:38.40 tex:25183 mv:16282 misc:5703 imb:2231 pmb:603 smb:5326 d:- ref:0 w:6,63,-1,6,61,6,61,6 ;
in:27 out:28 type:B dur:8 cpbdur:8 q:44.89 aq:39.78 tex:7583 mv:11390 misc:4579 imb:395 pmb:934 smb:6831 d:- ref:0 ;
in:28 out:29 type:b dur:8 cpbdur:8 q:44.86 aq:39.02 tex:4190 mv:8610 misc:3872 imb:269 pmb:761 smb:7130 d:- ref:0 ;
in:32 out:30 type:P dur:8 cpbdur:8 q:44.23 aq:37.18 tex:20553 mv:15527 misc:6080 imb:2001 pmb:641 smb:5518 d:- ref:0 w:7,127,-1,7,121,7,119,9 ;
in:30 out:31 type:B dur:8 cpbdur:8 q:44.63 aq:39.50 tex:6165 mv:9425 misc:4210 imb:239 pmb:890 smb:7031 d:- ref:0 ;
in:31 out:32 type:b dur:8 cpbdur:8 q:44.43 aq:38.47 tex:3695 mv:7875 misc:3630 imb:213 pmb:675 smb:7272 d:- ref:0 ;
in:35 out:33 type:P dur:8 cpbdur:8 q:43.85 aq:36.39 tex:15527 mv:14019 misc:5622 imb:1823 pmb:600 smb:5737 d:- ref:0 w:7,125,1,3,7,15,8,0 ;
in:33 out:34 type:B dur:8 cpbdur:8 q:44.11 aq:38.26 tex:8843 mv:11674 misc:4739 imb:341 pmb:1089 smb:6730 d:- ref:0 ;
in:34 out:35 type:b dur:8 cpbdur:8 q:43.98 aq:38.66 tex:4208 mv:7533 misc:3539 imb:169 pmb:798 smb:7193 d:- ref:0 ;
in:37 out:36 type:P dur:8 cpbdur:8 q:43.66 aq:35.76 tex:17612 mv:14079 misc:5221 imb:1967 pmb:556 smb:5637 d:- ref:0 ;
in:36 out:37 type:b dur:8 cpbdur:8 q:43.75 aq:36.94 tex:4297 mv:8573 misc:3082 imb:534 pmb:590 smb:7036 d:- ref:0 ;
in:41 out:38 type:P dur:8 cpbdur:8 q:43.13 aq:35.28 tex:41414 mv:18964 misc:5190 imb:2357 pmb:883 smb:4920 d:- ref:0 w:7,127,-1,6,64,0,49,31 ;
in:39 out:39 type:B dur:8 cpbdur:8 q:43.39 aq:36.98 tex:6021 mv:10768 misc:4371 imb:300 pmb:1080 smb:6780 d:- ref:0 ;
in:38 out:40 type:b dur:8 cpbdur:8 q:43.53 aq:35.54 tex:3557 mv:7992 misc:3275 imb:296 pmb:694 smb:7170 d:- ref:0 ;
in:40 out:41 type:b dur:8 cpbdur:8 q:43.26 aq:36.65 tex:2055 mv:5400 misc:2825 imb:89 pmb:586 smb:7485 d:- ref:0 ;
in:44 out:42 type:P dur:8 cpbdur:8 q:42.91 aq:34.17 tex:21721 mv:14862 misc:5505 imb:1691 pmb:831 smb:5638 d:- ref:0 ;
in:42 out:43 type:B dur:8 cpbdur:8 q:43.06 aq:36.39 tex:2130 mv:6106 misc:2948 imb:121 pmb:623 smb:7416 d:- ref:0 ;
in:43 out:44 type:b dur:8 cpbdur:8 q:42.98 aq:37.00 tex:1706 mv:4790 misc:2416 imb:93 pmb:456 smb:7611 d:- ref:0 ;
in:46 out:45 type:P dur:8 cpbdur:8 q:42.64 aq:33.91 tex:17637 mv:12958 misc:5725 imb:1167 pmb:784 smb:6209 d:- ref:0 w:7,127,0,5,31,4,32,0 ;
in:45 out:46 type:b dur:8 cpbdur:8 q:42.77 aq:34.56 tex:2020 mv:5411 misc:2849 imb:100 pmb:576 smb:7484 d:- ref:0 ;
in:50 out:47 type:P dur:8 cpbdur:8 q:42.13 aq:33.76 tex:17572 mv:15771 misc:5609 imb:2533 pmb:554 smb:5073 d:- ref:0 ;
in:48 out:48 type:B dur:8 cpbdur:8 q:42.38 aq:33.74 tex:5850 mv:10997 misc:4361 imb:378 pmb:845 smb:6937 d:- ref:0 ;
in:47 out:49 type:b dur:8 cpbdur:8 q:42.51 aq:34.49 tex:2332 mv:5959 misc:2957 imb:98 pmb:629 smb:7433 d:- ref:0 ;
